Results of 3 bytes, method: ownmethod
0488af2ec5d8f7d5b16ac56ed9dadf1be11ee4e5c84de72dec1d3598003c83c8 , 3455
cdea8db731de51a75f60505e46d0130f016c90c9b8e62907338e113e0799e57b , 2879
fe87402ba5f4127380f97cbcfe408901d113113f6f49febeb857748052fe66fb , 2827
8ac3950f119cd6239bf93ab76bfbbd6838d2b4560919b50f8254bad8f7ca5e0e , 2141
d32efa4d995236883f7767d6136761771dcdeb6ebfda744e300b921048c7c5ac , 1617
937715645207fa82c2acf25ef99d83409edc900b3298da92bed9c40c51cc400e , 1112
e8c2e1e292532af436dbc90a4b299157ad64ab22ce5e7e19a06f58bc7d32ce09 , 1738
3e6c3588ea447184437be5939cb99b75df698be4e8f6a2c11ef03968f46abefe , 1061
3d8a3e6307d88ce36026dbdcef1ab07d3970d302de7b25a285922ae6e68f0806 , 4166
ea6361aa2ef84957b339245849a934e4443c7b190560f60e1909c6c1863c5ca7 , 30
6967e5c764ea0b9c54c9da4c37ab901df3f1bcd2475628a3218c55d040a5709e , 2423
f1cb57d3ffa010539b7de311ed21f23c84274eef42331570ae94ea9d98e89c96 , 3026
3a4cbd23142f4c075f97d4f4966d814ac28495559a0c16eebf53722ef3683675 , 5417
43908a01e993091486ab05bd2f03b302344b9c021278effbc9bbb2107fe9506a , 1540
12981042edf5bb6381e707a987f207c41ef512e4e75e38c703d812f6112643a5 , 2035
5b0cbcf12a6b6e2d558321bbe9002b3dab9e99ecde13df07bb883187d472fc2a , 402
acda5eb985d91239c31b149054b13c31ccc8078d3500faa465dafeee6067064a , 286
1baa4ec84c126190abe751c5a17a5396015414a005bc2088daea55a306a2a1dd , 230
e24b0b6f8705781d78836e2a203a0d067de2675e2e2d6daefb08844f9d7efb33 , 62
b75238eee752fd673ae9a87d1155b551a8899c30b581bbe20c4c4d50aab9eca5 , 1075
9431b9fbef74fbe51717b7a0ae67e192b1aca0b03c8540a0d372e6c966e871a0 , 719
41124fe56398dbb7e2e538be5a8927c96fd21bfb77b0f895e434ab3b72956ce4 , 1430
59a84f1ef7fde9de1eee162005cc8d7f960420cbb57885f175e063daabbe0cc9 , 108
dab724fbaa9af88518a4ebb383d14fe08ba0d5949b69bb8fc63781f78521cb20 , 1143
9123f4f45356e2adc1f7605d67cd35b4bbff54a20950dcc2ff5542b9696b8514 , 262
da7bfed1c963b603faed292662c7bbc378bdb2e82c783d9b2caa59b9ad10d18b , 44
7c12d1e9447526cb91c9aeeb820a21586137f4668f4d72e35c2be17f4d0f9ae9 , 903
cc57b40ef70e5e1f853beb9db2c46cb35181da872a721976e08a8dea718fafb7 , 913
33123eea6c27f7cc0dc13bd67c8812ca4778f86be3f9c2ee3e9698de78a00173 , 1352
d10eb8e702854c31157823a7c2346a493e50ddc1396d4b07e5dc77349e040f4f , 753
30f482373af3a2484fdeda16d77835ea3515239cc78b77bbf887e1327cb127a7 , 915
a71d800fd0433602f58160ff9c9b13241d6568c06cf3f5e5511125167eda0659 , 1219
a2056ca9d452487375a7abf32b2f3f6dd770ad99705e63a10b233984bd6d0fe4 , 3580
d4a7fea1d594487869c9d0443c4df97d1ae358fd3ce246b43e7868b5acfed785 , 690
67869b9dc00988a5524060e5eb2b4d6eaa6aeb64796902db66abb43bfc1da5c3 , 1214
ab14f5d9d4dcb15a49221b8d74d6c9e57dcf17f5ccca5fbd9cad7390572faffb , 959
cb6ca968d9c8827c50ab1e2db6ae8d75b2b51fb651fd3bc12761b4366fc94c7b , 3537
ef7d907f8e765261af6463e9ab2270822ef822408b7062f189e86b30804672b4 , 61
e6e5a5fc36cbd31df3328114d15e940de8e2f1e0ed783d9bb2213bf1b6135cbb , 91
f34823372d030c268a8c414d451554b9656cd11a8b063bc85ee0f99032c5a190 , 2158
07ce174c1ebbc57965ed347cf0ebfe78550be62f100c7088e97d38a1bb9c4c00 , 237
